File: lockd
Build ID: e4d61a645a1f2bc729cb1865a9a8fa7f759a8ceb
Type: cpu
Time: 2026-01-28 11:41:28 CET
Duration: 5.12s, Total samples = 6.46s (126.15%)
Showing nodes accounting for 4.37s, 67.65% of 6.46s total
Dropped 535 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 67.65%      0.49s  7.59%  runtime.gcDrainMarkWorkerIdle (inline)
         0     0% 67.65%      0.10s  1.55%  runtime.goexit0
         0     0% 67.65%      0.12s  1.86%  runtime.goready (inline)
         0     0% 67.65%      0.05s  0.77%  runtime.heapSetTypeNoHeader (inline)
         0     0% 67.65%      0.09s  1.39%  runtime.lock (inline)
         0     0% 67.65%      0.09s  1.39%  runtime.lockWithRank (inline)
         0     0% 67.65%      0.19s  2.94%  runtime.mPark (inline)
         0     0% 67.65%      0.06s  0.93%  runtime.mapaccess1
         0     0% 67.65%      0.04s  0.62%  runtime.mapaccess1_faststr
         0     0% 67.65%      0.11s  1.70%  runtime.netpoll
         0     0% 67.65%      0.05s  0.77%  runtime.newproc
         0     0% 67.65%      0.05s  0.77%  runtime.newproc.func1
         0     0% 67.65%      0.19s  2.94%  runtime.notesleep
         0     0% 67.65%      0.75s 11.61%  runtime.park_m
         0     0% 67.65%      0.08s  1.24%  runtime.pcdatavalue
         0     0% 67.65%      0.04s  0.62%  runtime.rawstring (inline)
         0     0% 67.65%      0.04s  0.62%  runtime.rawstringtmp
         0     0% 67.65%      0.07s  1.08%  runtime.resetspinning
         0     0% 67.65%      0.16s  2.48%  runtime.runqsteal
         0     0% 67.65%      0.10s  1.55%  runtime.send.goready.func1
         0     0% 67.65%      0.05s  0.77%  runtime.slicebytetostring
         0     0% 67.65%      0.16s  2.48%  runtime.startm
         0     0% 67.65%      0.19s  2.94%  runtime.stopm
         0     0% 67.65%      0.97s 15.02%  runtime.systemstack
         0     0% 67.65%      0.04s  0.62%  runtime.unlock (inline)
         0     0% 67.65%      0.04s  0.62%  runtime.unlockWithRank (inline)
         0     0% 67.65%      0.17s  2.63%  runtime.wakep
         0     0% 67.65%      0.08s  1.24%  sync.(*Mutex).Lock (inline)
         0     0% 67.65%      0.07s  1.08%  sync.(*Mutex).Unlock (partial-inline)
         0     0% 67.65%      0.04s  0.62%  syscall.Fdatasync
         0     0% 67.65%      0.12s  1.86%  syscall.Pread (inline)
         0     0% 67.65%      0.23s  3.56%  syscall.Pwrite (inline)
         0     0% 67.65%      0.82s 12.69%  syscall.RawSyscall6
         0     0% 67.65%      0.15s  2.32%  syscall.Read (inline)
         0     0% 67.65%      0.46s  7.12%  syscall.Syscall
         0     0% 67.65%      0.38s  5.88%  syscall.Syscall6
         0     0% 67.65%      0.24s  3.72%  syscall.Write (inline)
         0     0% 67.65%      0.12s  1.86%  syscall.pread
         0     0% 67.65%      0.23s  3.56%  syscall.pwrite
         0     0% 67.65%      0.15s  2.32%  syscall.read
         0     0% 67.65%      0.24s  3.72%  syscall.write
         0     0% 67.65%      0.04s  0.62%  time.Time.AppendFormat
         0     0% 67.65%      0.04s  0.62%  time.Time.Format
         0     0% 67.65%      0.04s  0.62%  time.Time.appendFormat
