File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:24:15 CET
Duration: 5.12s, Total samples = 6.24s (121.92%)
Showing nodes accounting for 4.12s, 66.03% of 6.24s total
Dropped 547 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
     0.01s  0.16% 61.22%      0.24s  3.85%  io.ReadAtLeast
     0.01s  0.16% 61.38%      0.04s  0.64%  os.(*File).readdir
     0.01s  0.16% 61.54%      0.07s  1.12%  pkt.systems/kryptograf/keymgmt.ReconstructDEK
     0.01s  0.16% 61.70%      0.04s  0.64%  pkt.systems/lockd/internal/core.(*Service).loadMetaMaybeCached
     0.01s  0.16% 61.86%      0.04s  0.64%  pkt.systems/lockd/internal/core.(*leaseMetrics).recordAcquire
     0.01s  0.16% 62.02%      0.17s  2.72%  pkt.systems/lockd/internal/qrf.(*Controller).Decide
     0.01s  0.16% 62.18%      0.49s  7.85%  pkt.systems/lockd/internal/storage/disk.(*Store).WriteState
     0.01s  0.16% 62.34%      0.04s  0.64%  pkt.systems/lockd/internal/storage/disk.(*logStore).namespace
     0.01s  0.16% 62.50%      0.10s  1.60%  pkt.systems/lockd/internal/storage/retry.(*backend).PutObject.func1
     0.01s  0.16% 62.66%      0.04s  0.64%  pkt.systems/lockd/namespaces.NormalizeKey
     0.01s  0.16% 62.82%      0.04s  0.64%  pkt.systems/pslog.releaseLineWriter
     0.01s  0.16% 62.98%      0.18s  2.88%  runtime.(*mcache).nextFree
     0.01s  0.16% 63.14%      0.14s  2.24%  runtime.(*mcache).refill
     0.01s  0.16% 63.30%      0.06s  0.96%  runtime.(*mheap).alloc
     0.01s  0.16% 63.46%      0.24s  3.85%  runtime.copystack
     0.01s  0.16% 63.62%      0.19s  3.04%  runtime.futexsleep
     0.01s  0.16% 63.78%      0.13s  2.08%  runtime.futexwakeup
     0.01s  0.16% 63.94%      0.73s 11.70%  runtime.gcDrain
     0.01s  0.16% 64.10%      0.07s  1.12%  runtime.heapSetTypeNoHeader (inline)
     0.01s  0.16% 64.26%      0.05s   0.8%  runtime.makechan
     0.01s  0.16% 64.42%      0.08s  1.28%  runtime.makeslice
     0.01s  0.16% 64.58%      0.44s  7.05%  runtime.mallocgc
     0.01s  0.16% 64.74%      0.04s  0.64%  runtime.mapaccess2_faststr
     0.01s  0.16% 64.90%      0.87s 13.94%  runtime.mcall
     0.01s  0.16% 65.06%      0.11s  1.76%  runtime.netpoll
     0.01s  0.16% 65.22%      0.04s  0.64%  runtime.newproc1
     0.01s  0.16% 65.38%      0.20s  3.21%  runtime.notesleep
     0.01s  0.16% 65.54%      0.72s 11.54%  runtime.park_m
     0.01s  0.16% 65.71%      0.17s  2.72%  runtime.wakep
     0.01s  0.16% 65.87%      0.58s  9.29%  syscall.Syscall
     0.01s  0.16% 66.03%      0.31s  4.97%  syscall.Syscall6
         0     0% 66.03%      0.44s  7.05%  bufio.(*Writer).Flush
         0     0% 66.03%      0.15s  2.40%  bytes.(*Buffer).ReadFrom
