File: lockd
Build ID: f69983d50bc7ff2c5876752c21abc6eccb11141d
Type: cpu
Time: 2026-01-28 08:24:15 CET
Duration: 5.12s, Total samples = 6.24s (121.92%)
Showing nodes accounting for 4.12s, 66.03% of 6.24s total
Dropped 547 nodes (cum <= 0.03s)
      flat  flat%   sum%        cum   cum%
         0     0% 66.03%      0.09s  1.44%  sync.(*Mutex).Lock (inline)
         0     0% 66.03%      0.06s  0.96%  syscall.Fdatasync
         0     0% 66.03%      0.05s   0.8%  syscall.Open (inline)
         0     0% 66.03%      0.06s  0.96%  syscall.Pread (inline)
         0     0% 66.03%      0.19s  3.04%  syscall.Pwrite (inline)
         0     0% 66.03%      0.85s 13.62%  syscall.RawSyscall6
         0     0% 66.03%      0.14s  2.24%  syscall.Read (inline)
         0     0% 66.03%      0.32s  5.13%  syscall.Write (inline)
         0     0% 66.03%      0.05s   0.8%  syscall.openat
         0     0% 66.03%      0.06s  0.96%  syscall.pread
         0     0% 66.03%      0.19s  3.04%  syscall.pwrite
         0     0% 66.03%      0.14s  2.24%  syscall.read
         0     0% 66.03%      0.32s  5.13%  syscall.write
         0     0% 66.03%      0.07s  1.12%  time.Now
